phase,context_tokens,engine,backend,tokens,latency_s,throughput_tps,gpu_busy_pct,eff_weight_bw_gbs,kv_allocated_gb,iree_device_peak_gb,peak_gtt_gb
prefill,4096,llama.cpp,Vulkan,4096,8.115987994,504.682936,,,,,
prefill,4096,DynInfer,ROCm/HIP,4096,4.9570401834,826.2995352986187,97.0826,2.426279851,0.499122176,4.799211936,5.711400960
prefill,16384,llama.cpp,Vulkan,16384,39.708010089,412.612051,,,,,
prefill,16384,DynInfer,ROCm/HIP,16384,30.5194388708,536.8381794095066,97.9028,1.576328683,1.908408320,7.792613472,10.033631232
prefill,32768,llama.cpp,Vulkan,32768,100.762616830,325.200238,,,,,
prefill,32768,DynInfer,ROCm/HIP,32768,90.3150850844,362.8186805047917,97.7248,1.065351748,3.787456512,11.504564128,15.807090688
decode,0,llama.cpp,Vulkan,128,1.001340240,127.918074,,,,,
decode,1,DynInfer,ROCm/HIP,128,2.827262705,45.27347238501489,87.1714,68.063950046,0.029589504,2.319833700,3.077214208
decode,4096,llama.cpp,Vulkan,128,1.464638218,87.395574,,,,,
decode,4096,DynInfer,ROCm/HIP,128,7.4567546158,17.165644653075056,95.3757,25.806758762,0.499122176,4.799211936,5.711400960
decode,16384,llama.cpp,Vulkan,128,2.631508338,48.641542,,,,,
decode,16384,DynInfer,ROCm/HIP,128,16.7352813852,7.648511970237798,97.4048,11.498741078,1.908408320,7.792613472,10.033631232
decode,32768,llama.cpp,Vulkan,128,4.209380269,30.408394,,,,,
decode,32768,DynInfer,ROCm/HIP,128,29.5960228058,4.324905438811716,97.9265,6.502044845,3.787456512,11.504564128,15.811284992
